question_id,question_text
31257720,"Title: Converting JSON data before displaying in HTML | Body: I have some data being returned in this format:

[{
label: ""Store Name"",
address: ""123 Somewhere Blvd"",
city: "" Atlanta"",
state: ""11"",
zip: ""30333""
}]


Id like to know if there is a way to convert the ""state"" portion to the states name instead of its ID number. I have a table in my database that ma"
2250080,"Title: java.lang.UnsatisfiedLinkError: Method inside dll is not accessible | Body: I am trying to access the function available inside the .dll file. But it give exception like ""Exception in thread ""main"" java.lang.UnsatisfiedLinkError: *.jniGetAudioInputLevel()D"". DLL file is loaded but when I try to access the methods it give an error message.

According to my knowledge:- 


Thi"
14190420,"Title: Firefox word-break breaks short words at random points | Body: I'm break-wording a container so that extremely long words won't overflow. While Chrome and Safari deal with this really well, it seems that Firefox and IE like to break words randomly - even short words, at the most ridiculous points. See the screenshots below:



Here is the code I'm using to prev"
24024360,"Title: Start a new thread from the constructor of a QMainWindow in Qt | Body: I have the MainWindow class. In the constructor of this class I want to start a new thread that will do some work. But I get this error: 


  Assert failure in QWidget: ""Widgets must be created in the GUI thread."" 


In this new thread I am not creating any widgets. This is what I have tried so far."
4040010,"Title: How to select icon for a WPF to be the icon of the application? | Body: I have set the icon to use for my application but my form still having the default icon on it. How can I select its icon to be the one set for the application? Please help
"
5215840,"Title: Why can C# not automatically provide thread-safe access to events, where C++/CLI can? | Body: From the MSDN documentation for EventHandler Delegate:


  In contrast to the C# and Visual Basic examples, the Visual C++ example
  code does not require you to create a
  thread-safe temporary variable. Visual
  C++ version automatically provides
  thread-safe access, enabling you to
  raise the e"
34519490,"Title: Auxiliary class - define in companion object or as inner class | Body: Is there an (dis)advantage (for example performance-wise) for defining classes auxiliary to a trait in its companion object over defining them as inner classes? For example:

object Foo {
  final class Bar[A, B](val x: A, val y: B)
}
trait Foo[A, B] {
  def foo: Foo.Bar[A, B]
}


vs.

trait Foo[A, B"
10473490,"Title: Different sizes of Fancybox window (iframe) for different links | Body: I have some links on my web page. When you click them Fancybox windows with iframe opens up, which works fine. However, I want to change the windows sizes so that it's different on the different links.

How could I accomplish what I want? Should I change in the Fancybox.js-file?

This is how my link"
1130440,"Title: Is it possible to assign object to int? | Body: I have a CCounter class which holds and integer value protected by mutex. I've defined several operators like post/pre inc/dec returning an integer so I can do:

CCounter c(10);
int i = c++;


but what do I do with a simple assignment like i = c ? I tried to define friend operator= but it gives me

"
15897500,"Title: Closing tags when extracting HTML from XML | Body: I am transforming a mixed html and xml document using an xslt stylesheet and extracting only the html elements.

Source file:

&lt;?xml version=""1.0"" encoding=""utf-8"" ?&gt;
&lt;html &gt;
  &lt;head&gt;
    &lt;title&gt;Simplified Example Form&lt;/title&gt;
  &lt;/head&gt;
  &lt;body&gt;
    &lt;TLA:"
9605480,"Title: deviceMotion not returning anything for pitch, roll, or yaw | Body: I'm trying to get some simple code working to log the pitch, roll, and yaw of my iPhone 4S. It's firing the timer correctly, but the values of pitch, roll, and yaw, are always displayed in the console as 0.0000000. What am I missing here? Any help appreciated!

Here's my .h file:

@interface ViewCon"
15302020,"Title: How to write a test class to test my code? | Body: I want a test class to test this class but i dont know how to write it and i tried to see online but i still couldnt figure it out.I wrote the code on BlueJ, i'm trying to create the set game.

import java.util.*;

public class Deck
{
    ArrayList&lt;Card&gt; deck;
    public Deck ()
    {
        "
36643320,Title: p5.js: How can I access elements in a for() loop to rollover? | Body: I'm working on a interactive text analysis website and I currently have a for() loop running through an array of lines in a .txt file. Each line generates a rectangle. It works well but I need to be able to mouseOver/rollover each square to then print the text line on the web page. Essentially I jus
6263660,"Title: The object cannot be deleted because it was not found in the ObjectStateManager | Body: I have something like this:

public void Delete(T entity)
        {
            Context.DeleteObject(entity);
            Context.SaveChanges();
        }


I end up wit a exception:
""The object cannot be deleted because it was not found in the ObjectStateManager.""
If I try to add the entity to obje"
14756820,"Title: iOS application missing from notification center | Body: Problem:
The app doesn't appear on notification center and it is unable to receive push notifications right after installation completes and the app registers for push notifications via registerForRemoteNotificationTypes:.

Details:


The app usually appears in notification center after the device i"
30591290,"Title: Is it possible to save the sorting order of rows and columns of Kendo UI pivot Grid? | Body: I am new to kendo UI stuff, I am using the Kendo Pivot Grid. As per my client requirement I have saved the rows and columns state of kendo Pivot Grid, but he also want to save the sorting order of rows and columns. I am following this http://demos.telerik.com/kendo-ui/pivotgrid/index demo of Pivot G"
4007320,"Title: Separate quotes from string | Body: The following code keeps giving me this error 


  Parse error: syntax error, unexpected T_VARIABLE in ...


?

   $query_string = 'this is a test... ""this is in quotes"" mmm..chicken burgers... yummm...';
   preg_match_all(""/\"".*\""|[^\s]*/"",  Â­ $query_string, $matches);
   echo ""Matches:"";
   forea"
32780040,"Title: .net application proxy with WPAD | Body: One of our customers uses a Proxy which is configured using WPAD. All of their employees have to have the ""Automatically detect settings"" checkbox ticked in the Internet Explorer internet options. No further configuration is required.

We implemented a proxy functionality in our app by adding the fo"
79850,"Title: How do you design data models for Bigtable/Datastore (GAE)? | Body: Since the Google App Engine Datastore is based on Bigtable and we know that's not a relational database, how do you design a database schema/*data model* for applications that use this type of database system?
"
20644160,"Title: Using the Play WS API from pure Scala with sbt | Body: In this question it is said, that Scala future is represented as daemonic thread, so it shouldn't prevent the application to stop if the main thread is done.

However, if I run the following code:

object main extends App {
  println(""before future\n*************"")
  val responseFuture = WS.url(""htt"
32189260,"Title: Why am I getting a NullPointerException when I return mocked values? | Body: I have a class:

public CustomerService Implements custStruct {

    public Service changeCustomer(Guest guest) {
    ...

    Seats seat = custService.assignSeats(tickets);

    if(!seat.full) { // &lt;--- this line is giving Null Pointer (seat is null)
     ...do something
    }
   }


My test is "
17727760,"Title: Is there any performance or memory improvement between importing a class and using references with full class name? | Body: I'm wondering if there is any difference between something like the following implementations:

import java.util.Date;

public class SimpleDatePrinter {

    public void printDate() {
        System.out.println(new Date());
    }

}


... and ...

public class SimpleDatePrinter {

    public void pr"
12632520,"Title: ML solution of a large Dirichlet PDF using optimx() | Body: I have tried gradient ascent to find ML solution to an 18 category Dirichlet model in R using the optimx package, but I can find initial parameter values that will make the CG algorithm run. I have tried different combinations of positive integers for the alphas. Could someone tell me what I'm doing"
7275520,"Title: Eclipse debugging HashMap: Logical Structure using Key and Value's toString() method | Body: I have recently started to use Eclipse after using IntelliJ for a few years.  When debugging Map using IntelliJ, if the key or object implements toString(), a nice list of string representation of key-value is displayed.

In Eclipse, when I select Show Logical Structure, I see something like the fol"
4902350,"Title: asp net mvc validation and ViewModel | Body: I have four layer solution a medium size project:


Model (EF POCO entities)
Data (EF ObjectContext)
Services 
asp net MVC question

a)Should i have validation attributes- Dataanotation in Models or MVC project?

b)where should i set ViewModel-s if in MVC then where do i fill ViewModels with data, i"
704130,"Title: Can I transpose a file in Vim? | Body: I know I can use AWK but I am on a Windows box.  I am making a function for others that may not have AWK.  I also know I can write a C program but I would love not have to create maintain and compile something for a little Vim utility I am making.  

The original file might be

THE DAY WAS LONG 
THE"
30770960,"Title: Sending data from Android app to MySQL database | Body: I am a newbie attempting to send data from an Android app to a MySQL database set up on a localhost server via xampp. This method is supposed to put a name, username, password, phone number, and age into an arraylist of type NameValuePair.

@Override
    protected Void doInBackground(Void... params)"
21262830,"Title: how to scroll live cards in aglass activity | Body: I'm writing a glass app.

In one activity I want to scroll between few cards (which were popups in my android app).

1) I thought to use cardsScrollView.

problem: Is it possible to set customView to a card object?

2) I thought to use LiveCard

problems:

Is it possible to publish them inside my ap"
34828590,"Title: Iframe fit to screen | Body: I am trying to integrate my blog into my website via iframe. However, using this method I have to give the height and width in pixels. I want the blog to fit the screen, though. Is there any way to do this?

EDIT: The answer below suggests that I change my CSS. Then what do I do with the ""width"" and"
21833530,"Title: How to read the last XML element of a web file in Visual Basic | Body: I am completely new to Visual Basic. I want to create a program that reads only the last element of an external XML file. The only code I have is:

Text = wc.DownloadString(""http://example.com/file.xml"")


The XML file is as follows:

&lt;message&gt;
&lt;sender&gt;John&lt;/sender&gt;
&lt;body&gt;Hel"
17456450,"Title: Is there a way I can allow someone to run my Java program without them seeing the code? | Body: So basically I made a terminal-dependent Java program and want to start handing it out, but I can't seem to find a way to do that without giving them my code. When making a .jar file it only works on Windows.

When trying to run on Linux (CentOS) I get 

  Exception in thread ""main"" java.lang.Unsupp"
13748770,"Title: Email Validation with JavaScript | Body: 
  Possible Duplicate:
  Validate email address in Javascript?  




This is my first post and I have a small issue. I'm trying to validate an email address on a form, but with no luck. I found this snippet on the internet but it doesn't seem to be working. I'm using Javascript at the moment to vali"
26105230,"Title: JSONP - ""Uncaught SyntaxError: Unexpected token"" | Body: before I explain my issue I would like to mention that I'm a naive on jsonp. This is actually my very first attempt to work with JSONP. 

Im using jquery ajax call to pullback data from a website. 

my jquery code is below

$.fn.checkTPS = function(){

    return this.each(function(){
        var in"
4766680,"Title: Android app, showing a keyboard | Body: I recently wrote my first app for android, and I created a listview for selecting an element from a list of about 500 items.  Since it's basically the default listview, it's searchable, and I can bring up the onscreen keyboard by holding down the menu button, but I was wondering if there was a way t"
35931890,"Title: Table cell not properly calculating | Body: I am trying to keep my form fieldsets as table-cells. I am applying the width by percentage. But the field sets childer 'labelnot calculating the width as33.33%`.

what is the issue here?



*{
  padding:0;
  margin:0;
}

form{
/*   display:table;
width:100%; */
  border:1px solid gray;
}"
9179640,"Title: Converting to JSON, how do I include multi-level deep models? | Body: A has_many Bs
B has_many Cs
B belongs_to A
C belongs_to B
C belongs_to A  

But when I do myA.to_json(:include =&gt; [:b, :c]), Everything is in teh top level, which makes sense, but how does one pass params to to_json such that Cs will be in an array made under B, and not A??

I think it should loo"
18294830,"Title: How to mock a call-by-name argument (like getOrElse) using ScalaMock? | Body: I'd like to be able to mock a return value of getOrElse method so that it returns what is passed as orElse call-by-name argument with ScalaMock

trait ToBeMocked {
  def getOrElse(arg: Int)(orElse: =&gt; String): String
}


ScalaMock has to be used because of currying. Running this:

class CallByNam"
8023930,"Title: Best way to achieve C break or Python pass in a SQL case expression? | Body: Given a SQL CASE expression with nested CASE expressions, I'm looking for the best way to emulate a C break or Python pass within a nested CASE expression so I can evaluate the rest of the outer WHEN choices.

For example, imagine

select CASE 
         WHEN C1 THEN CASE
                      WHEN C"
10155330,"Title: How to prevent a service from getting killed by Android because of uncaught exceptions? | Body: I am investigating if there are any ways to prevent an android service being killed because of uncaught exception.
We have 10 UI apps talking to 5-6 services. The platform is Android 2.2. 
Because of unforeseen conditions, some of the logic in the services are throwing exceptions now and then. That "
36085460,"Title: Android : Determine direction of hand movement, the curve. | Body: I am working on an Android project in which I would like to detect hand movement of the user. I looked up a lot of examples, but all the examples only detect changes which are linear, like hand moves up or down, right or left... Nothing I could find for a curved detection. I have basic code now, whe"
29346030,"Title: Can I Use Insert Snippet to Create Setters and Getters in Visual C++ | Body: This answer suggests creating a Code Snippet to allow the ""Insert Snippet"" menu to contain setters and getters in Visual C#.

I went to check out the answer's link: https://msdn.microsoft.com/en-us/library/ms165392.aspx

But it really doesn't have information about inserting anything more than fixed"
5461240,"Title: SearchDialog cannot be shown within ActivityGroup | Body: i have two activities within an ActivityGroup, one ""ProvinceActivity"" and another ""CityActivity"".
so code:

public class CityManagerActivity extends ActivityGroup {
    View v1 = getLocalActivityManager().startActivity(
                ""tab1"",
                new Intent(this, ProvinceActivity.class)"
8678570,"Title: eventaggregator vs services | Body: When developping rather large applications using Prism and MEF/Unity I always reach a point where I should choose between using events, a service or maybe both. And I cannot decide what's most usable. Maybe something is wrong with my architecture (as in this decision shouldn't have to be made in the"
31943730,"Title: Why Paint.ANTI_ALIAS_FLAG does not seem to work when drawing at same place on Canvas? | Body: There is an issue with anti-alias when trying to draw multiple times at same place using the android Canvas.

First I'm initializing paint = new Paint(Paint.ANTI_ALIAS_FLAG) and then setting stroke cap to Paint.Cap.ROUND.

Then, if I call canvas.drawPoint(x, y, paint) once causes the following resul"
13831490,"Title: Auto_html says block not supplied | Body: I have a website that allows users to post links. I am trying to get the soundcloud links to embed the mediafile thus I am attempting to use AutoHtml Gem. I did gem install Autohtml, put it in my gemfile and in config/application.rb and ran bundle install. Why isn't Auto_html() working.

GEMFILE

so"
26338110,"Title: Kinect SDK 1.8: How to detect grip using javascript? | Body: I'm playing with javascript API of KINECT FOR WINDOWS SDK 1.8 starting from Webserver sample included in developer toolkot. Now i would like to detect grip interaction in browser and i've not result at the moment.
I'm using the Handpointer interface which provide a property isInGripInteraction but i"
3682460,"Title: What is Adobe Air Packager for iphone | Body: I just read this annoucement about Apple lifting restrictions on its third-party developer guidelines with direct implications for Adobeâs Packager for iPhone.

http://blogs.adobe.com/conversations/2010/09/great-news-for-developers.html


I just want to know what kind of applications can be built "
7717830,"Title: group by same column where multiple condition using same column input | Body: i have a table named temp. columns are id, telco, shortcode,hotkey.

id  telco  shortcode hotkey
1    asdf    123      ib
2    gra     123      sb
3    cc      123      sb
4    bl      123      ibb


using mysql query i want output count(shortcode) group by telco where hotkey ib shortcode 123 and 
c"
9617170,"Title: Using ""this"" in another constructor | Body: Suppose you have a class with this constructor:

public SomeObj(int x, int y) {
    this.x = x;
    this.y = y;
}


All good. But now if you want to clone the object, I want a constructor to accept one argument with an object from that type, so inside the constructor all (necessary) fields can be co"
36401290,"Title: Different results between Orange PCA and scikit-learn PCA | Body: I am using scikit-learn PCA to find the principal components of a dataset with about 20000 features and 400+ samples.

However, comparing with Orange3 PCA which should be using scikit-learn PCA, I get different results. I also unchecked the normalization option proposed by Orange3 PCA.

With scikit-"
24335810,"Title: how to show a query result in jtable in netbeans | Body: I use netbeans 8 and JDBC/Derby and want to show the result of a statement (join of 3 tables) in a jTable. How should I do it? Is there a way to do it manually (not via java code)?
when I want to show data from a single table, I Do it through table content>bound. If there is a way in this section pl"
35040780,"Title: Abstract method in public abstract class implementing an internal interface doesn't compile? | Body: internal interface I_Foo
{
    void Bar();
}

public abstract class A_Foo : I_Foo
{
    public A_Foo() { }
    abstract void I_Foo.Bar();
}

public class Foo : A_Foo
{
    public Foo() : base() { }
    internal override void Bar()
    {

    }
}


Hello! I'm trying to have some methods visible to ou"
3733450,"Title: What is the best way to execute a function when user clicks on a link? | Body: From my experience I know three different ways to execute a Javascript function when a user clicks on a link


Use the onclick attribute on the link

&lt;a href=""#"" onclick=""myfunction();return false;""&gt;click me&lt;/a&gt;

Use the href on the link 

&lt;a href=""javascript:myfunction();""&gt;click m"
13367360,"Title: Spring security authorize rails app using devise | Body: I'm trying to figure out how to authorize my rails app into pentaho spring security. I've tried to use the URL parameters user=username&amp;password=password but somehow the application does not listen to it and it just send me to the login page.

Right now im doing a hack on the pentaho server by a"
31949620,"Title: Is it possible to invoke code for all Catch blocks without adding it manually? | Body: I have a custom exception class that will wrap around any other exception that is thrown.  This way I will always know the exception was handled and all other methods and layers will know to just pass the exception up to the UI.  However, when an exception is first thrown I want to the exact same th"
16862880,"Title: Installing JSON Gem with Bundler without GCC | Body: I am in the process of deploying a rails application to a server. There are a few environmental limitations, namely:


No internet access on server
No root access on server
No build tools (GCC, etc)


I almost have the capistrano deployment working, however I get a failure when bundler tries to inst"
22392110,"Title: Change jdk path in IntelliJ 13 when compiling from 32 bit program file folder to 64 bit one | Body: I'm getting this issue when trying to Make my java project.  I just uninstalled my 64 bit jdk for various reasons and installed the 32 bit one.  I'm getting the error:


  Cannot run program ""C:\Program Files\Java\jdk1.7.0_51\bin\java"" (in
  directory ""C:\Users\$username.IntelliJIdea13\system\compil"
37193380,"Title: Rotate plotted points of an ellipse to give a circle | Body: I have an ellipse-shaped distribution that I think is a conic section. I want to rotate the points so that the distribution becomes circular-shaped, as if I was looking at the conic section directly over the top of the cone. 

Here's some example data (generated using the function here)

X_df &lt;-
"
20613950,"Title: xcode async tableview load image move listview images gone | Body: We want to download image and data async to our tableview and we want to cache it not to download it again. We found a code for caching.Here is our code. It works asynchronously but when we scroll table view, images gone and come back(we cant see image for a while). Sometimes wrong image come to wro"
15436900,"Title: Executing mongoimport inside code with Javascript/Node.js | Body: Is there any library available in node.js/javascript that allows an individual to use mongoimport in code?

To my understanding, mongoimport is kinda like an .exe, which you have to execute it first before being able to use its text input environment. 

Is it possible to execute mongoimport in my co"
2359440,"Title: What is the most semantic way to display a street address in HTML? | Body: I have an address that is going to be displayed on a webpage, but it is not the address for the author of the page. How should this be coded to be semantic given the w3c recommendation of:


  The ADDRESS element may be used by authors to supply contact information for a document or a major part of "
29959210,"Title: Object reference not set to an instance of an object when opening cshtml files in visual studio 2013 | Body: When I try to open .cshtml files in Visual Studio 2013 I get this error:



Object reference not set to an instance of an object


I have tried the solution given here but it did not work.
Here is my appsettings section in the web.config: 

&lt;appSettings&gt;
   &lt;add key=""Port"" value=""25"" /&gt;
"
33281690,"Title: Get values from multiple inputs jQuery with same name and add the the values together | Body: Image of the the appending of items using jQuery



function fill(thisValue) {

function suggest(inputString){
	            var inputString  =  $.trim(inputString);
		if(inputString.length == 0) {
			$('#suggestions').fadeOut('slow');
		} else {
		$('#country').addClass('load');   
			 $.p"
12532540,"Title: create a dynamic php/html table with mysql specific value in <td> (""League""-System) | Body: i struggle with the following structure / logic...
the project is about how to build a league on php &amp; mysql
every player has to play against each other

i want to generate a (dynamic) table like this one:

&lt;table border=""1""&gt;

    &lt;tr&gt;
        &lt;td&gt;--&lt;/td&gt;
        &lt;td&g"
36012890,"Title: LogCat not working after update to Android N | Body: I recently updated my Nexus 5x to Android N preview, I updated the SDK plugin for Android N on Eclipse too.

But Eclipse still does not recognize the API of my own, and thus the LogCat is not working when debugging the app.

Screenshot1

Screenshot2

Is there any solution for this?
"
13251730,"Title: uwsgi: connection refused when running from startup script | Body: I want to run a django site on amazon ec2 (ubuntu) with nginx and uwsgi. I have followed a basic setup as described here. 

When I start uwsgi from the command line (as ubuntu user), everything works fine, the site is served up properly:

/home/ubuntu/uwsgi-1.3/uwsgi --home /home/ubuntu/apps/mysite-"
6223240,"Title: After importing into eclipse using eGit, can't compile and run. What do I do? | Body: After importing a standard .java file into Eclipse using Git, I tried to compile and run the  file. Eclipse gave me this error: 

""Unable to launch: The selection cannot be launched, and there are no recent launches.""


What do I do?
"
4224450,"Title: Android: Trying to start BluetoothSettings activity Force Close with NullPointerException | Body: I'm trying to bring up the standard window for Bluetooth Settings(with Device name, Discoverability etc).

However, general approach with startActivity(intent) ends with NullPointerException pointing toBluetoothSettings.java onCreate:135.

Checking with the Android code, I've found that at line 135 "
9596460,"Title: jquery targeting nested #div | Body: I am web-designer, not a programmer and  a newbie in Javascript / jQuery (although I do have experience with PHP )

I am having a problem understanding why I can not seem to target the right div for a hover effect.

Fiddle is here :
http://jsfiddle.net/obmerk99/F6wJs/

When I target a certain div cl"
15885930,"Title: Automatically indenting pre-processor statements | Body: What does everyone use to indent C++ pre-processor directives? Astyle and Gnu-Ident don't seem to be able to do this!

I think James McNellis' answer on this thread (How do you indent preprocessor statements?) is very interesting. I've adopted this style for some time now and it would be great to be"
21175260,"Title: Travis CI fails to parse my gherkin `.feature` files | Body: I'm using RSpec and Turnip (an alternative to Cucumber that also uses Gherkin syntax) to test my Rails application.

My specs and acceptance tests run 100% green on my local machine.

josh@macbuech:~/Documents/Work/MuheimWebdesign/transition (master *)$ rake
[deprecated] I18n.enforce_available_local"
7134980,"Title: ANT: replace param in set of XML files based on XML file content | Body: I have directory with subdirs with xml files in it with different extensions. 



Start of updated part 



Target dir: /some/path

Target files mask: *.load

Basic filterset we use to find *.load files under /some/path:

&lt;fileset dir=""/some/path""&gt;
    &lt;include name=""**/*.load"" /&gt;
&lt;/f"
1426470,"Title: What does the CreateMask function of BitVector32 do? | Body: What does the CreateMask() function of BitVecto32 do?
I did not get what a Mask is.

Would like to understand the following lines of code. Does create mask just sets bit to true?

// Creates and initializes a BitVector32 with all bit flags set to FALSE.
  BitVector32 myBV = new BitVector32( 0 );

  "
33230890,"Title: Does awk run parallelly? | Body: TASK - SSH to 650 Servers and fetch few details from them and then write the completed server name in different file. How can do it in faster way? If I do normal ssh it takes 7 Minutes. So, I read about awk and wrote following 2 codes. 

Could you please explain me the difference in the following co"
9260190,"Title: Get base url in model | Body: I use zend framework to develop my project. I want to get base url with its protocol in some model. I try following lines to do that. But it return empty. 

$front = Zend_Controller_Front::getInstance();
$baseUrl = $front-&gt;getBaseUrl();
echo $baseUrl; 


Can i get base url from that way. What are"
