id,title,description,manufacturer,price
b0008ews9o,instant immersion french 2.0,instant immersion version 2.0 moves you from a beginner to an intermediate speaker with a 5 cd-rom course of study. including talk now! talk more and world talk from eurotalk. finally test your linguistic skills with who is oscar lake a challenging interactive mystery game.,topics entertainment,29.99
b000ozhfsq,tlc dr. seuss reading learning system 2008,tlc dr. seuss reading learning system builds important early reading skills such as word recognition vocabulary and reading comprehension through proven unique and interactive learning techniques. your child will be engrossed in building their reading skills in the wonderfully witty world of dr. seuss! learn letters & sounds listen to the story read on your own learning fundamental reading skills is fun when it's part of a complete learning system! follow along as the story is read or click on objects and play games in this delightful adaptation of dr. seuss classic books green eggs & ham and cat in a hat. hidden surprises on each page will engage and teach your child the following skills: rhyming matching colors increased vocabulary word recognition reading comprehension computer familiarity spatial relationships causal relationships the cat in the hat along with the cat in the hat come thing one and thing two and they're all here together to have fun with you. build essential reading skills with games and activities on every page. green eggs & ham 19 interactive pages of dr. seuss's green eggs and ham are filled with clickable animated surprises and reading activities. build a solid reading foundation while having fun! track your child's progress using a progress chart set goals for your child as they learn and play in the magical world of dr. seuss. reward the progress with colorful star stickers. also includes helpful tips for parents on how to create a positive learning experience. plus a bonus dr. seuss daisy-head mayzie dvd to further enhance the child's learning with exciting educational video content. mayzie learns that love is more important than fame and fortune. this is an endearing morality tale for our time and children of all ages.,encore,19.99
b000in18nm,professional training for vegas 7 and dvd architect 4 sw,the sony vegas+dvd production suite upgrade gives you an easy way to stay current with the very latest technologies. this cost-saving alternative gives you all the abilities of the new version at half the price. capture your video and still images from your digital device and add effects transitions titles and music. you can even insert animated text titles and scrolling credits. choose from hundreds of 2-d and 3-d transitions and have fun experimenting with hollywood-style effects such as slow motion and the chroma key.,sony pictures digital entertainment,249.95
b000e8jlda,adobe premiere pro 2.0,adobe premiere pro 2.0 software sets new standards for digital filmmaking so you can make every frame count. providing the tightest integration with adobe after effects and adobe photoshop and native support for hdv sd and hd adobe premiere pro effortlessly fits into high-end effects and editing work flows. its rich set of advanced editing and effects tools ensures that you can produce whatever you imagine and new time- and space-saving features help make you more productive. if you work in post services in-house post production videography or multimedia services adobe premiere pro 2.0 delivers a rich feature set that enables you to tell your stories with the highest possible production values. edit multiple-camera shoots quickly and easily with premiere pro 2.0. view multiple video tracks from a multicam shoot and edit by switching between tracks in real time. expedite reviews with adobe clip notes. embed video into a pdf file e-mail the file to your client to review with timecode-specific comments and then view comments mapped to the timeline. create high-quality menu-driven dvds directly from the adobe premiere pro timeline. make full-resolution interactive dvds for digital dailies test discs or final delivery. browse organize and preview content files and then drag and drop what you need from adobe bridge. search by or edit xmp metadata such as keywords language and format. take a tour of adobe premiere pro 2.0. edit everything with confidence with adobe premiere pro 2.0 you're ready for editing no matter how demanding the project. hd sd hdv and dv -- every major standard and high-definition video format (including dv digital betacam hdv hdcam and d5) is within your reach with no compromise on quality features or performance. that means you're free to work with whatever media best meets your requirements in terms of budget creative expectations and intended delivery medium. using native support for the aja xena hs card for real-time hd encoding premiere pro 2.0 captures from and lays off to any hd-sdi vtr or device. with six channels of aes and embedded audio i/o plus full-resolution sd and hd playback premiere pro 2.0 and aja xena hs combine to provide a complete full-featured capture and delivery solution for all hd and sd formats. whether capturing from or laying back to digi-beta or d5 premiere pro 2.0 and the aja xena hs card are the perfect combination to accommodate diverse post-production work flows. putting hd resolution within reach of even the most modest budget hdv has rapidly become a popular acquisition format. with premiere pro 2.0 you now have a full-featured editing environment for hdv with support for logging batch capture trimming and editing in native hdv format so there is no conversion or quality loss. plus premiere pro 2.0 supports the most popular hdv-format cameras and vtrs including the most popular sony and jvc models. premiere pro 2.0 also streamlines the process of encoding video and audio for your macromedia flash projects with new flash video (flv) export. this allows you to create compact vector-based swf animations that include sophisticated text animations and shape morphing. expanding your creativity premiere pro 2.0 delivers a comprehensive and powerful set of professional editing tools including new support for multi-cam editing enhanced color support and gpu-accelerated rendering. this leading application also opens a whole new level of professional production by supporting the editing of multiple-camera shoots. the new quad-view monitor provides simultaneous display of up to four synchronized source tracks plus a real-time preview of the switched output. drop into record mode and you'll be able to switch between source tracks in real time to create a sequence containing the edited footage from each of the cameras. making adjustments is easy. simply record the desired changes and premiere pro 2.0 updates your edited sequence automatically. the clips can then be edited as usual with any effects titles and other tools available in premiere pro 2.0. premiere pro 2.0 introduces numerous enhancements to ensure that color in your video productions is as true to life as possible. for starters premiere pro 2.0 provides new color correction tools that are optimized for different tasks such as luma correction and limiting. for fine adjustments the three-way color corrector provides precise control over shadows midtones and highlights. use primary and secondary color correction tools to match shots change colors correct exposure errors and modify highlights midtones and shadows across clips sequences or entire projects. whether working with 8-bit 10-bit or 16-bit source material the powerful new color correction tools process your changes at 32-bit resolution for maximum color fidelity. workflow integration and support premiere pro 2.0 offers excellent integration with your high-end work flows. film and video may be in different formats but they needn't exist in different dimensions. built-in conversion capabilities help bridge the two worlds by providing optional feet + frames timecode display (in addition to video smpte) for captured footage. if you originate on or deliver to 16mm or 35mm film premiere pro 2.0 lets you choose whichever time reference system makes editing and conforming easiest for you. with an open architecture premiere pro 2.0 easily provides support for new formats and hardware as they become available. choose from a wide range of capture cards and other hardware today to build the hd sd and dv editing system that meets your needs and budget. if you're familiar with other adobe products working with premiere pro 2.0 will be a breeze. the software features panels that dock and group work with a redesigned user interface that's fully customizable. tools palettes and menus are familiar and consistent with those in other adobe video applications and keyboard shortcuts remain fully customizable. arrange everything you need using workspace panels that dock and group within the main application window saving valuable screen space and eliminating the need to constantly reposition and resize multiple windows and palettes one by one. the audio capabilities in premiere pro 2.0 -- unequaled by any other video editor -- now allow you to apply multiple effects to audio clips or tracks. adobe premiere pro even includes a set of vst-format plug-ins that will get you started on audio enhancement right out of the box. deliver with ultimate confidence now that it's done where can you play it? with premiere pro 2.0 the answer is everywhere. whether your delivery target is the web dvd tape film or digital cinema adobe premiere pro 2.0 helps you leverage your editing investment across more playback platforms. plus workflow innovations such as automated review and approval facilitate and streamline everyday tasks to keep your projects on the fast track without keeping you from your core mission. adobe premiere pro 2.0 also makes it easy to send both media and metadata to other video film and audio applications making it more efficient to take a single project in multiple directions. and finally getting fast to-the-point feedback from clients is a crucial part of any successful production. adobe clip notes streamlines the process with an elegant solution based on two easy accessible technologies: email and the adobe pdf file format. a sequence can be exported as a pdf file with embedded or streamed video in either windows media or quicktime. the file is then sent to the reviewer who plays it back with adobe acrobat or adobe reader software. whenever the reviewer pauses the video the current timecode is automatically entered into the comment box. remarks can be entered at the exact point at which the video is paused. when the file containing these remarks is sent back and imported into the sequence the comments appear as clip markers at the appropriate timecode locations in the timeline. adobe clip notes facilitates collaboration expedites the review and approval process and takes the pain out of keeping everyone in the loop.,adobe,849.0
b0002h6x34,reader rabbit preschool,reader rabbit learning system - preschool kindergarten and 1st grade are three new grade-based products from the number 1 educational software brand! they are an integrated program designed to teach your child essential developmental skills through a unique combination of proven learning techniques and complementary learning aids such as flash cards printable activities and stickers.,the learning company,29.99
b000cqnjim,is3 stopzilla 4.0 [stop spyware pop-ups id theft],stopzilla 4.0 spyware protection - mini box,roxio,29.95
b000o39u3g,adventure workshop 1st-3rd grade 8th edition,,encore,19.99
b0000afu4e,national geographic photo gallery (jewel case),national geographic photo gallery gives you the images you need to add a touch of the unusual or exotic to any print project!,topics entertainment,9.99
b000jgw9ae,sony psp media manager,the psp media manager lets you take advantage of all the extra power held in your psp. it's far more than just a game system -- the psp is a digital photo album movie player and portable music device all rolled into one. psp media manager is the easiest and fastest way to move content to your psp for portable playback and sharing wherever you go. two-paned view lets you see media on your pc and psp system at the same time podcast and video blog support -- download and encode feeds for psp playback back up game saves copy saved games between your pc and psp system delete game saves that you no longer need and move game saves across memory stick duo media,sony computer entertainment,24.99
b000e8jlbw,adobe production studio premium,adobe production studio premium the most complete post-production solution available anywhere will bring new power and efficiency to your film video dvd and web work flows. part of the adobe creative suite family this complete audio and video post-production solution combines adobe after effects 7.0 professional premiere pro 2.0 photoshop cs2 audition 2.0 encore dvd 2.0 and illustrator cs2 software with the timesaving workflow features adobe dynamic link and adobe bridge. take a tour of adobe production studio premium. thanks to adobe dynamic link you can incorporate after effects motion graphics title sequences and visual effects into your adobe premiere pro timeline without rendering. encore dvd 2.0 includes hundreds of professionally designed menu templates with placeholders for text and graphics for fast easy creation of great-looking dvds. conveniently preview after effects animation presets and templates in adobe bridge. edit multiple-camera shoots quickly and easily with premiere pro 2.0. view multiple video tracks from a multicam shoot and edit by switching between tracks in real time. create compelling motion graphics and blockbuster visual effects with efficiency precision and infinite variety using the industry standard: after effects 7.0. enjoy rapid response as you record and mix with the new powerful low-latency mixing engine in audition 2.0. increased productivity from adobe integrationenjoy enhanced and unprecedented integration among adobe production studio components. for example after effects adobe premiere pro encore dvd and illustrator feature native photoshop file support; after effects and adobe premiere pro share compositions and timelines; after effects and adobe premiere pro feature common effects; and software components feature copy-and-paste and drag-and-drop compatibility as well as edit original functionality. thanks to standardized user interface elements throughout production studio -- such as workspace panels that dock and group custom workspaces and common commands tools and keyboard shortcuts -- you can get up to speed quickly and work efficiently. this unified design environment translates into improved efficiency and increased productivity. a suite of advanced post-production applications production studio premium features several industry-leading post-production applications to build advanced video and web effects. after effects 7.0 can help you create compelling motion graphics and blockbuster visual effects with efficiency precision and infinite variety while premiere pro 2.0 delivers the flexibility and power you need to bring a new dimension to your film video and web productions. whether you're working with hd hdv sd or dv the software's superior performance and a complete toolset let you work faster and more creatively to deliver the quality work you and your clients demand. enjoy greater precision and control when preparing images for use in film video and dvd productions with adobe photoshop cs2. for instance you can take advantage of new features such as 32-bit high dynamic range (hdr) color support and vanishing point which enables you to edit in perspective. adobe audition 2.0 the all-in-one toolset for professional audio production delivers the flexibility and control you need to produce great soundtracks for any project. another example of the many benefits of adobe integration can be found with encore dvd 2.0 which lets you create full-featured menu-driven dvds for feature films business communications training events and more. and with adobe illustrator cs2 you can create editable and scalable vector artwork for your film video and web productions in adobe illustrator cs2 software now with advanced painting drawing and type tools. adobe dynamic link eliminates delays for rendering -- an exclusive adobe production studio feature. you can use after effects compositions in adobe premiere pro and encore dvd projects with no intermediate rendering. edit a composition in after effects and view your updates instantly in the other production studio components. organize and browse content files and then drag and drop them from adobe bridge into your film video audio and dvd productions. search sort and edit xmp metadata info and preview scalable thumbnails of video and images as well as audio files. high definition support and flash integration production studio premium lets you work with hd at all popular resolutions and frame rates to achieve the highest standards in the industry. production studio supports hd hdv sd and dv formats. you can also choose the right macromedia flash format to encode your video and audio files for optimal web viewing. simply export directly from after effects as swf for vector-based animations or from adobe premiere pro and after effects to flv for live-action video.,adobe,1699.0
b00005ld1r,model web publisher 3.5.2 .,,computer associates international,0.0
b000ivfciq,sudoku puzzle addict: unlimited edition,sudoku puzzle addict: unlimited edition (win 98 me 2000 xp),global software publ na,0.0
b0009y6f56,instant play electric guitar (jewel box),instant play electric guitar hits the right note for flexible computer-based instruction. this 2-cd set takes you from basic rhythms to rocking out! comprehensive beginner's guide features intros to rhythm and lead guitar instrument tuning & amp set-up finger positioning and basic technique. arrange your chord progressions with chord miner 100 a total chord catalog with interactive software for novices and professionals.,topics entertainment,6.99
b000nvkyse,pro photo essentials plug in suite & iview mediapro 3,pro photo essentials plug in - suite & iview mediapro 3,onone software,499.95
b000bt8trg,microsoft visual studio professional 2005 upgrade,microsoft visual studio professional 2005 is one of the most significant developer tools available for building high-performance multi-tier applications for windows the web and mobile devices. designed for developers working alone or in small teams visual studio pro 2005 features integrated visual database tools for designing databases tables and stored procedures. you can also design debug and deploy multi-tier applications; and build a wide array of high-performance solutions faster than ever. visual studio 2005 combined with asp.net 2.0 offers an improved environment for publishing and administering a web site. view larger. the new clickonce application deployment technology makes deploying a desktop application as easy as deploying a web application. view larger. the solution explorer now makes it easy for you to clean up unwanted files. view larger. with visual studio pro 2005's powerful enterprise-class application platform you can also easily create and deploy client applications and automatically publish and maintain applications and their dependencies with integrated clickonce support. with more than 50 new controls and hundreds of built-in services for site security personalization and look and feel visual studio pro 2005 gives you the tools it takes to build fast interactive web applications. enhanced visual designers and editors speed up development times significantly while intuitive visual designers help to improve your xml editing and xslt debugging. in short you can tackle just about any development task whether its creating dynamic data-driven applications using an integrated data access design and reporting environment or creating robust applications using the microsoft .net framework 2.0 the .net compact framework 2.0 and native code -- all supported by microsoft visual studio 2005. you can also easily develop for 64-bit systems using a 64-bit version of the .net framework. visual studio 2005 professional edition includes microsoft visual basic microsoft visual c microsoft visual c++ and microsoft visual j programming languages; tools for building windows and web solutions; smartphone and pocket pc development tools for building windows ce-based applications; visual database tools; advanced debugging tools including cross-machine debugging; and much more. cross machine debugging and better web publishing visual studio 2005 combined with asp.net 2.0 offers an improved environment for publishing and administering a web site. with the built-in publishing features such as integrated file transfer protocol (ftp) you can keep files in your local project and synchronize them with files located on a remote web server. visual studio automatically logs copied files which helps you to identify whether the remote site has been updated with the latest files. and to help protect your site and your ip you can pre-compile a web site to publish only executable code no source files to your production server. the web site configuration interface makes it easy to set up and maintain applications and the new web site administration tool helps you manage remote sites. you can manage cache settings at the server and web site level to improve the performance of your published web sites. and users can manage their own sites with the new asp.net microsoft management console (mmc) plug-in. the solution explorer in visual studio 2005 also makes it easy for you to clean up unwanted files. simply choose clean solution from the build menu and all the intermediate files and output directories in your whole solution will be removed. for visual c++ you can also use the project only submenu of the build menu to clean only the project currently selected in solution explorer without cleaning any project dependencies or solution files. other features include a new checksum feature that matches multiple source file names without any confusion; provider-driven application services that let you extend the powerful features of visual studio team system by adding your own asp .net application services seamlessly giving you complete control over the tools and environment.,microsoft software,549.0
b0009yx9by,serious magic ultra2 master sets library 2 ( windows ),the ultra2 master sets library 1 adds a new world of cutting-edge virtual sets soundstages and backlots to your shots. these virtual sets take full advantage of serious magic's virtualtrak technology offer a variety of settings for every type of production.,serious magic,276.5
